SMILES,property_HLM,property_MDR1_MDCK_ER,property_Solubility,property_hPPB,property_rPPB,property_RLM
Cc1cccc2c(=O)n(CCC(=O)Nc3cc(C4CC4)n[nH]3)cnc12,,,0.916980047,,,
O=c1cc2c(n[nH]1)-c1cnc(N3CCCC3)nc1CC2,0.823669813,-0.126039331,,,,2.012630569
COc1ccc(CN2CCN(C(=O)C3CCN(C(=O)C4CC4)CC3)CC2)cc1,0.675686709,0.879415261,,,,1.702611455
Cn1c(CNC(=O)Cc2ccccc2)nc2ccccc21,0.877486528,0.353014136,1.650987094,,,1.952506693
NC(=O)c1cnn(Cc2cccc(F)c2)c1,0.675686709,,,,,1.027920136
COc1cc(CNC(=O)NC2CCCCC2)cc(OC)c1O,0.675686709,0.621347066,1.892150278,,,1.027920136
O=C(Nc1nc2ccccc2[nH]1)c1ccncc1,0.675686709,0.094937755,0.706717782,,,2.036972044
CCC(C)(C)NC(=O)C1(Cc2ccc(-c3cc(F)ccc3OC)cc2)CCOCC1,2.845170003,0.209397874,1.07809415,,,3.006561448
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0.675686709,2.281582606,,0.01745073,-0.204119983,1.027920136
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,,,0.571126277,,,
Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,,,-0.070581074,,,
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.962132469,1.878743868,1.469232743,,,2.033480049
CO[C@H]1COCCN(C(=O)c2cccnc2)C1,0.675686709,0.077755842,1.541579244,,,1.027920136
Cc1ccc(CCNC(=O)N2CC(C)(C)OC(C)(C)C2)cn1,0.818357878,1.359968571,1.61415871,,,1.882877294
Oc1ccc(CN2CCN(c3cccc(Cl)c3)CC2)cc1,1.526093625,-0.345917416,0.342422681,,,1.954305236
Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,0.675686709,0.444209915,0.322219295,,,2.058813073
O=C(Nc1ccc(COC2CCCC2)cc1)N1CCC(CO)CC1,0.675686709,0.744687037,,,,2.517033502
CC1(C)[C@H]2C[C@H]3Oc4c(ccc(O)c4C(=O)NCCNS(C)(=O)=O)[C@H](O)[C@@]3(O)[C@@H]1C2,1.466823151,1.959166783,,,,2.12715017
COCCc1ccc(OCC(O)CNC(C)C)cc1,,,,,2.0,
CC(=O)NC1(C(=O)N2CCCN(c3cccnn3)CC2)CCCCC1,0.888123307,1.338279842,1.683587318,,,1.320997417
Nc1nc(-c2ccccc2)c(C(=O)Nc2ccc(Cl)c(Cl)c2)s1,,-0.191917712,-0.301029996,,,
NCCn1cc(NC(=O)c2ccccc2)cn1,0.675686709,,1.89795681,,,1.027920136
Cc1ccc2c(C(=O)N(C)C)cc(-c3cnc(C(C)C)nc3)nc2c1C,1.222742476,0.289342383,0.385606274,,,2.921989596
CC(C)c1nnc(NCc2ccn(C)c2)o1,0.675686709,-0.114863151,1.252367514,,,1.799926107
CCOC(=O)c1cccnc1SCc1cccnc1,2.46652954,-0.189637188,,,,3.099884622
Oc1cccc(/C=C/c2nc3ccccc3o2)c1,,-0.716630604,-0.15490196,,,
CNC(=O)c1cnc(/C=C/c2csc(-c3cccs3)n2)s1,1.535926741,-0.28333235,0.948412966,,,2.335905004
Fc1ccc(CCNc2ncnc3ncccc23)cc1,1.124634624,0.370644573,,,,1.905542243
C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,0.675686709,,1.632659713,,,1.027920136
c1cnc(-n2cccn2)c(CNC2CCCC2)c1,0.675686709,-0.021928011,1.4827307,,,1.605434345
Cc1cc(N(CCO)CCCO)ncc1Br,1.094296397,-0.115819631,,,,2.679317037
O=C(O)CCn1c2ccccc2c2ccccc21,0.675686709,-0.092206169,1.716086854,,,1.056218581
O=C1CCCc2nc(Nc3nc(-c4ccccc4)c4ccccc4n3)ncc21,,,-0.795880017,,,
O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@H]3CCC[C@@H]3C(=O)O)cc2)cc1,1.0548045,0.775157765,,,,1.375736752
COc1ccc(C)cc1S(=O)(=O)NCCC(=O)Nc1ccccc1C,1.96363202,1.229000429,,,,3.333076707
Fc1ccc(Nc2nc(N3CCCCC3)c3nccnc3n2)cc1,,-0.516295395,-0.920818754,,,
O=C(Nc1nc2ccccc2[nH]1)c1ccc(-n2cccc2)cc1,,-0.444495368,,,,
Cc1nc([C@H]2CC[C@H](CNC(=O)CN3CCC(c4ccccc4)CC3)CC2)ccc1C(N)=O,1.57209289,1.174297192,1.846027675,,,2.590620063
COc1ccccc1NC(=O)CSc1nc(C(C)(C)C)nc2ccccc12,,0.101841486,-0.568636236,,,
CCc1ccc(NC(=O)C2CCN(c3ccc4nncn4n3)CC2)cc1,0.686546899,1.132459745,0.06069784,,,1.539414867
CS(=O)(=O)N(CC(=O)Nc1ccccc1C(=O)NCc1ccco1)c1ccc(F)cc1,2.118535869,0.982549868,1.545925329,,,3.0467651
Cc1ccccc1S(=O)(=O)N[C@@H]1CC[C@@H](O)[C@@H]1O,0.675686709,,,,,1.247703282
O=C1NC2(CCCCC2)C(=O)N1Cc1csc(-c2ccccc2)n1,1.375407533,0.061780698,,,,2.935432694
CC1(C)C(=O)N(Cc2ccc(CO)cc2)C(=O)c2ccccc21,,,1.438700533,,,
CC(C)(C)OC(=O)N1CCCN1C(=O)c1cc2cc(Cl)ccc2[nH]1,1.673849977,,,,,2.836996561
O=C(NCC1=CCCN(Cc2cc(F)ccc2Cl)C1)c1ccco1,2.300049556,-0.161329885,1.5774918,,,3.214697381
CCOC(=O)Cc1c(C)[nH]c2c(-c3ccccc3)cnn2c1=O,0.7930916,1.254105924,1.173768823,,,1.95240494
COc1ccc(-c2nc(CC(N)=O)sc2C)cc1.Cl,2.220395778,-0.608487427,1.481442629,,,2.045510741
Cn1nc(CNC(=O)C2CCC2)c2ccccc21,1.097847077,-0.179136093,,,,2.167323243
C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,2.018920918,,0.58546073,,,2.82465617
Cc1noc(C)c1CCC(=O)Nc1cccnc1,0.675686709,0.859932852,1.745933158,,,1.50711343
COc1ncc(-c2cccc(N(C)C)c2)c(OC)n1,2.284667557,,1.396199347,,,3.348596113
Cc1cc(Nc2ccc(F)cn2)cc(C2CCN(C(=O)COc3ccccc3)C2)n1,2.02619812,1.190256515,,,,2.821966583
Cc1c(C)n(Cc2ccccc2)c2ncnc(N)c12,1.203875623,-0.216783624,1.634678752,,,2.712478812
Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,1.066176786,1.882226244,1.475235223,-0.354577731,-0.08249449,1.571266162
CCCN1CCn2nc(-c3nc4cc(OC)ccc4[nH]3)cc2C1,0.675686709,-0.083498619,1.603252662,,,2.447564217
CN(C)C(C)(C)CNc1ncnc2ccccc12,0.675686709,0.45636973,1.59206567,,,2.466869103
COc1ccc(CC(=O)N2CCc3[nH]c4ccc(Cl)cc4c3C2)cc1OC,2.077560479,0.804078694,0.826074803,,,2.829490319
COc1cccc(OC)c1-c1ccc(OCCN2CCCC2)cc1,0.675686709,0.14730882,,,,3.360202297
COc1ccc(C(=O)N(C)Cc2nccn2C)c(F)c1,0.675686709,0.345550205,1.720242018,,,1.730426945
COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,2.554656304,-0.144968747,1.74390155,,,3.290326493
N#Cc1c(Cl)nc(N)n1-c1ccccc1,1.069853021,,,,,1.44294987
COc1cccc(CN2Cc3ccccc3OC3(CCOCC3)C2)c1,2.123371366,-0.277833593,1.205745541,,,3.197581289
O=C(NCc1ccc(O)cc1)Nc1ccncc1F,0.675686709,,1.577836341,,,1.027920136
CNc1ncc(-c2nc(C3(c4ccccc4)CC3)nn2C(C)(C)C)cn1,1.788642017,-0.002023625,0.582063363,,,2.943585026
COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,1.021644036,0.979002017,1.559308011,0.866877814,0.685562611,1.848847759
O=C(NCc1nc(-c2cnccn2)n[nH]1)C1Cc2ccccc2C1,0.675686709,0.942134786,,,,1.278845022
Cc1ccc(N/N=C2\C(=O)N(C)N=C2Nc2ccccc2Cl)cc1,,,-0.301029996,,,
C[C@@H](Cn1nc2c(cc1=O)CCCCC2)NC(=O)CCc1ccccc1,2.345463913,,,,,3.552021768
N#Cc1c(N)nc(SCC(N)=O)c(C#N)c1-c1ccc(OCC2CC2)cc1,,1.628257674,-0.283996656,,,
CN(C)C1CN(c2nc(-c3cnccn3)nc3sc4c(c23)CCCC4)C1,1.966118257,0.069382959,1.568084331,,,3.434142543
c1ccc(CC2=NCCN2)cc1,0.675686709,-0.442557042,,,,1.027920136
Cc1cc(NC(=O)C2CCN(c3ccncc3Cl)CC2)no1,1.104657791,-0.340174632,1.462397998,,,2.268631787
O=C1Nc2ccccc2O[C@H]2C[C@@H]1N(Cc1cccnc1)C2,1.105135338,1.246986499,1.974741905,,,2.448468243
Clc1cc2ncc(-n3ccnc3)nc2cc1Cl,1.226032503,-0.314355198,0.471291711,,,2.127700734
O=C(CCOc1ccccc1)N1CCCC1,0.675686709,-0.266902376,1.589949601,,,1.93230123
Cc1oc2cc(OCC(=O)Nc3nccs3)ccc2c(=O)c1Oc1ccc(F)cc1,,-0.013336197,-0.301029996,,,
O=c1cc(-c2cc(F)c(Cl)nc2Cl)[nH]c2c(-c3ccccc3)c(C(F)(F)F)nn12,0.675686709,0.280355081,,,,1.286950216
O[C@@H]1C[C@@H](c2nc(-c3cccnc3)no2)N(CCCc2ccccc2)C1,2.031913164,0.074966071,1.658964843,,,3.279585506
CCN(CC#N)C(=O)c1nn(-c2ccc(F)cc2)c2c1CCCC2,1.700894004,-0.14739864,1.607562243,,,2.598360375
O=C(CCc1cc2ccccc2o1)N1CCN(c2cnccn2)CC1,1.842453215,-0.201650351,1.744684063,,,2.696762531
Cc1cnc(CS(=O)(=O)C2CCCC2)cn1,,,1.558708571,,,
CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,1.884823674,0.79989303,,,-0.055517328,2.160423509
Cc1cc(C(=O)N(C)C2CCSCC2)c(=O)n(C)c1C,1.46386314,1.591150042,,,,1.751132774
COc1cc(OC)cc(-c2nnc(SCC(=O)Nc3cccc(C(=O)O)c3)s2)c1,0.675686709,-0.032341716,1.591064607,,,1.684324614
O=c1c2cc(OCc3ccc(Cl)cc3)ccc2nc2n1CCCCC2,,-0.013535695,-0.420216403,,,
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2[nH]c(C#N)cc12,2.044755286,0.714392927,,,,2.235889367
O[C@@H]1CO[C@H]2C[C@@H]1Nc1c(Cc3ccccc3)cccc12,1.524746532,-0.327645342,1.476541809,,,2.549043745
Cc1nc(NCc2ccc(F)cc2)n(C)n1,0.675686709,-0.011014098,,,,1.027920136
CC(=O)N1CCc2ccc(N(C(=O)/C=C/c3cccc(C#N)c3)C3CCN(CCC4CCCC4)CC3)cc21,2.273635458,1.478418088,0.267171728,,,2.500914016
CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,1.488353265,,,,,2.220701567
CC(=O)N1CCN(CCNC(=O)N2CCc3sccc3C2)CC1,1.005952287,1.482205221,1.746244872,,,1.870163865
CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,1.731274412,-0.112926587,1.482015576,,,2.873374086
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,,,-0.698970004,,,
Cn1nc(C2CCNCC2)c2cccnc21,0.675686709,0.836347585,1.727134424,,,1.559343951
COc1ccccc1CC(=O)NC1CCN(C)CC1,0.675686709,0.787828913,1.635282638,,,1.736850481
COCCCNc1ncc(-c2ccsc2)c(-c2nc(C)c(C)s2)n1,1.373573981,,,,,1.991832778
CC(=O)N[C@H]1/C(=N\OC(=O)Nc2ccccc2)O[C@H](CO)[C@H](O)[C@@H]1O,,,1.822168079,,,
Cn1c(=O)c(C(=O)CSc2nc3ccccc3n2C)c(N)n(Cc2ccccc2)c1=O,2.92364496,1.114002873,,,,3.380791722
CC1(C)CN(C(=O)c2cncc(Br)c2)CCO1,0.675686709,-0.106381801,1.920540717,,,1.027920136
c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,1.197638876,-0.011510521,1.536558443,,,2.64325325
COCc1nc(C2CCN(CCO)CC2)no1,0.675686709,,1.557507202,,,1.859606578
COc1ccc(Br)c(-c2nnc(N)o2)c1,1.215426048,-0.150551104,1.393926007,,,1.772439068
Cc1ncc(CN2CCC(Nc3ccc4nnnn4n3)C(C)C2)s1,1.208387604,1.439027359,,1.652285029,1.579154557,2.088001348
Cc1cc(C)c2ccc(C(=O)N3CCN(c4ncc[nH]c4=O)CC3)cc2n1,0.675686709,1.818754528,,,,1.727378569
COc1cccc(-c2cccc(N)n2)c1F,1.924899264,-0.116954056,1.260071388,,,2.411279544
CC(C)NC(=O)CN(C)c1ccc(Cl)c(C#N)n1,0.675686709,,,,,1.940247458
O=C(NC1CCCC1)C(=O)c1ccc2c(c1)CCC2,2.212131649,-0.261492998,1.495127881,,,2.957847591
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,0.675686709,,1.867762025,,,1.027920136
CC(=O)c1ccc2c(c1)CCN(CC1CCC3(CC1)OCCO3)CC2,0.675686709,-0.254683871,,,,2.359412361
CN(Cc1cccnc1)Cc1ccc(C#N)o1,0.990116766,-0.188640098,1.487138375,,,1.843039577
Cc1ccc(CNC(=O)CN2CCC(n3nnc4cc(C)ccc43)CC2)cc1,2.189582946,0.572330802,1.47957531,,,3.179797018
Cc1cc(C)n2nc(C)c(C(=O)NCC3CC3)c2n1,1.669707291,-0.139753256,,,,2.02382017
CCC(CC)NC(=O)c1ccc(C#N)c(C)n1,0.790144365,,1.723783937,,,1.699013432
CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)COc2ccccc2)CC1,1.946432613,-0.060058571,,0.250420002,,3.264134452
CON(C)C(=O)CCc1c(C)nn(C)c1C,0.675686709,0.123270222,1.534026106,,,1.451279719
O=S(=O)(Cc1csc(C2CCCC2)n1)C1CCCC1,1.967187475,-0.268931938,1.542576476,,,3.340824501
Cc1ccc(C(=O)NCC#Cc2ccccc2)cn1,0.675686709,-0.237227233,1.647969458,,,1.274134748
COc1cc(CNCCN2CCOCC2)cc(Cl)c1OCc1ccccc1,1.666059108,0.287620321,1.728434951,,,2.519061069
CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,0.932980822,,0.397940009,0.731266349,0.455758203,2.281224324
O=C(c1ccc(F)cc1)N1CCN(CC(=O)N2CCCC2=O)CC1,0.675686709,1.015518022,1.976945751,,,1.14928071
COC(=O)C1=NOC2(CCN(CCC(C)(C)C)CC2)C1,2.159209144,-0.323809424,,,,2.478225852
Cc1cccc(-c2nc(CN(Cc3cnn(C)c3)C(C)C)c(C)o2)c1,1.796865615,0.093480081,1.331427297,,,3.65905931
Cc1ccc2[nH]c(CNC(=O)c3ncoc3C)nc2c1C,1.132803818,0.377829937,,,,2.387647835
CN(Cc1ccc(C(=O)O)cc1)C(=O)c1ccnn1C,0.675686709,-0.178606365,,,,1.027920136
CNC(=O)N1CCc2nc3ccc(Cl)cn3c(=O)c2C1,0.675686709,0.789322338,1.703377369,,,1.027920136
CC(=O)NCCCOc1ccc(CN2C[C@H](O)[C@@H](Oc3cccc(C)c3)C2)cc1,1.083395108,1.493918028,1.652052848,,,2.742940262
CNc1ccc(/C=C/C=C/c2nc3ccc(O)cc3s2)cn1,,,-0.657577319,,,
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,0.954290762,1.319525011,,,,1.818423855
CCOc1ncccc1-c1cc(Cl)ccc1O,1.77755006,-0.225338528,1.356025857,,,2.815365197
O=C(NO)c1cnc(NC2(c3cccc(F)c3)CCCCC2)nc1,1.15703345,,,,,2.48505386
Cn1c(=O)n(C)c2cc(CN3CCC(c4ccc(Cc5ccccc5F)cn4)CC3)ccc21,1.928616017,0.79508038,1.752509401,,,2.033885953
O=C(Nc1nc2ccccc2[nH]1)c1ccccc1,,,0.217483944,,,
CN(C)CCNc1c2c(c(C#N)c3nc4ccccc4n13)CCCC2,1.380102655,0.410152385,1.556302501,,,2.43117392
COc1ccc(CNc2c(-c3ccc(OC)c(OC)c3)nc3cnccn23)cc1,2.829621496,0.384412452,1.670802284,,,3.289164929
COC(=O)c1cc(F)c(C)c(NC(=O)CCCc2ccccn2)c1,2.900555555,-0.105086921,1.633468456,,,3.224233848
COc1ccc(NC(=O)CN2CCC(c3cc(-c4cnc(N)nc4)cc(C)n3)CC2)cc1,1.196120893,0.706126106,1.628286731,,,2.389036663
CN1CCN(CCOc2ccccc2N)CC1,0.904499155,-0.26149444,1.580810973,,,2.115344196
Cc1nn(C)c2nc(C(C)C)cc(C(=O)O)c12,0.675686709,,1.511883361,,,1.027920136
CCOC(=O)c1ccc(OCC(=O)c2c[nH]c3ccccc23)cc1,,-0.341226036,-0.161150909,,,
CCCc1cc(C(=O)Nc2ccc(-c3nnc(C)[nH]3)cc2)no1,2.117234827,-0.062985208,,,,2.462724345
Cc1cc(C)c(NC(=O)CN(C)c2ccc(C#N)nc2)c(C)c1,1.158573556,0.825482136,,,,1.878946691
CCc1c(C)nn(CCNC(=O)CCc2cnccn2)c1C,1.80988279,1.369653461,,,,2.811035153
CC(=O)NC[C@H]1C[C@]2(C)[C@@H](CCCC[C@]2(C)O)N1CC1(O)CCCCCC1,1.709074824,,,,,2.768789005
Nc1nc2c3ccccc3oc2c2ccccc12,,-0.627138293,-0.602059991,,,
CN(C)C(=O)Cn1cc(C(=O)O)ccc1=O,0.675686709,,1.3232521,,,1.027920136
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,2.122406886,,,,,2.084995734
Cc1ccc(Cl)c(OC[C@@]2(O)CN(C3CCC3)CC[C@@H]2O)c1,2.219133758,-0.157722628,,,,3.360073047
Nc1ccc2c(c1)ncn2-c1ccccc1,0.880356199,,,,,1.402312979
O=c1[nH]c2ccccc2n1C1CCN(c2ncnc3sccc23)CC1,1.543943942,,0.62838893,,,2.530508335
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,2.572145236,0.816480119,1.221414238,,,2.847664567
O=C(Nc1ccccc1)Nc1ccc(OC(F)(F)F)cc1,,-0.484024287,-0.096910013,,,
NC(=O)c1csc(CN2CCc3cc(F)ccc3C2)c1,0.737272177,-0.163733345,,,,2.400698554
COc1ccc(NC(=O)C(C)N2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,2.59262526,-0.013573742,1.27989498,,,3.286232753
NC(=O)c1cnc(N2CCc3[nH]nc(C(F)(F)F)c3C2)c(Cl)c1,0.675686709,0.865154021,,0.986009932,,
O=c1[nH]c2nc(N3CCc4ccccc4C3)ncc2c(=O)n1-c1ccccc1,,-0.351261156,-0.698970004,,,
CN(C)c1ncncc1NC(=O)c1ccc(C(F)(F)F)nc1,0.675686709,,,,,1.027920136
CCc1oc2c(-n3cnnc3)cccc2c1C,2.046417117,-0.231156947,1.354108439,,,2.229033884
Cc1cccc(/C=N/Nc2cc(N3CCOCC3)nc(OCCc3ccccn3)n2)c1,2.115533963,-0.037446911,,-0.548213564,-0.27572413,
CN(CC(=O)NC1CC1)C(=O)C1C2CC3CC(C2)CC1C3,1.336679827,0.198433223,1.705692697,,,2.665527522
Nc1c(-c2ccc(F)cc2)ncn1Cc1ccccc1,1.163936209,,,,,2.570413333
NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,0.80140371,,,,,1.152288344
Cc1cc(C(=O)NCCc2ccccn2)c(C)s1,1.799850374,-0.194782679,1.613630435,,,2.365796748
Cc1ccc(C)c(C(=O)Nc2cnc3c(c2)c(C)nn3C)c1,0.814380794,-0.173825201,0.367355921,,,2.110377561
c1cncc(-c2nnc3n2[C@H]2CN(Cc4cccs4)C[C@H]2CC3)c1,0.858236335,0.429683007,,,,2.535470081
O=S(=O)(NC[C@H]1CCCN1)c1ccc(OC(F)F)cc1,0.675686709,0.46040426,,,,1.537403484
O=C(CN1CCCc2ccc(F)cc21)N1CCNC1=O,0.675686709,-0.047651133,1.654561555,,,1.787375449
CCc1nc(CN2C(=O)COc3ccc(F)cc32)cs1,1.813694384,-0.162685448,1.320354033,,,3.096984358
N#Cc1cccnc1NCCc1ccc(F)cc1,2.251881455,-0.285026975,0.42975228,,,3.062367604
CC(=O)N1CCN(C(=O)CS(=O)(=O)C23CC4CC(CC(C4)C2)C3)CC1,0.675686709,1.012522768,,,,2.47457754
Fc1cccc(N2CCCC2)c1CN1CCN(Cc2ccon2)CC1,1.782164352,-0.19396052,,,,3.538634048
N#Cc1ccc(Cn2cncn2)c(F)c1,0.675686709,-0.15703927,1.42373725,,,1.027920136
Cc1ccnc(C2CCN(C3CCCC3)CC2)n1,0.675686709,0.05085228,1.205745541,,,2.92820222
CCn1c(=O)c2cc(OC)c(OC)cc2n(Cc2ccc(Cl)cc2)c1=O,,,-0.397940009,,,
CCc1c(C(=O)N2CC[C@@](O)(CC(C)C)[C@@H](Oc3ccc(F)cc3)C2)[nH]c2ccc(C)cc12,2.014948742,0.618089766,,,,3.111775834
O=C(COc1ccc2oc3c(c2c1)CCCC3)N1CCOCC1,1.490969251,,1.633165354,,,3.474290146
CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC(=O)NS(=O)(=O)c3ccccc3)cc1)C2,0.675686709,0.462650421,,,,1.237895455
COc1ccc(C(=O)c2ccc(Cl)cc2)c(OC)c1,1.941317597,-0.28214926,,,,3.241915623
Cn1c(=O)n(Cc2cccc(OC(F)F)c2)c2cnccc21,1.017033339,0.126314146,1.690993032,,,2.32059697
O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1,0.675686709,0.612920322,,,,1.027920136
COc1ccc2ccccc2c1CNC(=O)c1cnc(C2CC2)nc1,1.52748812,-0.190430393,0.709269961,,,2.645033982
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.177074546,,0.720159303,-0.580044252,-0.341988603,2.199853869
CCCC(=O)Nc1ccc(C(=O)N(C)C)cc1,1.346313847,0.148709537,,,,1.704605172
CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,2.004110625,0.891865247,,-0.449771647,-0.325138859,2.365560985
Nc1nn(C(=O)Cc2ccc(F)cc2)c2cccc(F)c12,1.222091886,,,,,1.798761104
CCn1nc(CNC(=O)C2CCOCC2)c2ccccc21,0.675686709,0.451315881,,,,2.051025111
O=C(NCc1cccs1)c1cccnc1,0.675686709,-0.207369073,,,,1.027920136
Cc1ccc(C#N)c(NC(=O)CCc2ccccc2)n1,1.046690221,,,,,2.379923426
Cc1nc(C2CCNCC2)cc(N(C)C)n1,0.675686709,0.654377293,1.58546073,,,1.027920136
N#Cc1ccccc1-c1ccc(-c2nccn2-c2cccnc2)o1,1.943993816,0.169785581,1.473048805,,,2.856567586
N#Cc1cccc(-c2ccc3[nH]ccc3c2)n1,2.475201781,-0.277406726,0.562292864,,,2.817485378
CCOc1ccccc1C(=O)N1CCC(c2nc(-c3ccc(OC)cc3)c(C(N)=O)[nH]2)CC1,2.017467417,1.678142919,1.666517981,,,2.375154963
